736.4214	446.652	731.018	731.018	731.2209	766.5787	747.7493	736.6738	733.105	732.0826	733.4228	734.1125	731.018	731.018	524.8709	213.4573	676.3835	2.477897	21.71555
0	187.6589	251.7372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.405827	133.468
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95111	8.054474
5.872802	0	0	317.1313	716.4734	734.0911	734.0911	714.2712	328.8769	0	0	0	77.49883	275.1004	269.6618	80.21809	0	2.028607	12.14478
739.4172	211.2139	715.6152	738.5095	741.8425	967.8143	937.0657	868.3397	739.5529	738.5095	738.5095	738.5095	738.5095	470.5281	74.74203	7.75296	14.03168	0.3770844	91.19174
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.029408	9.290344
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.970988	23.86841
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.486114	11.36551
404.5057	0	0.4838628	2.903177	0	0	0	0	26.12857	445.6335	483.8581	483.8581	483.8581	206.1247	483.8581	225.9628	13.0643	2.248887	9.658401
253.47	0	0	0	0	0	0	0	0	12.55466	314.6041	788.1229	879.8645	850.4938	973.4833	504.6544	0	1.386828	73.45417
0	490.8869	631.6336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.560045	97.95948
