0	0	0	0	0	0	0	0	0	0	14.20545	50.73375	0	0	0	0	0	4.226171	69.96194
11.31898	653.8265	811.3204	818.9822	738.9583	200.915	0	0	0	4.45899	266.2386	374.2953	343.0079	270.6028	1.714996	285.9047	78.32291	1.662579	71.67628
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.699752	29.82092
13.09991	373.3611	209.2384	0	0	0	0	30.39911	267.9102	284.1049	284.1049	277.002	64.49152	0	0	179.3895	342.1584	1.723212	9.114655
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.474794	2.916992
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.547167	134.8954
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.917432	36.10816
677.2872	0	0	44.42371	72.8257	58.26057	140.5535	578.9705	673.3983	702.3141	728.107	661.9271	596.9177	208.8241	144.9231	0.7282577	0	3.746428	7.550344
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3231712	104.3726
0	0	0	0	0	0	0	0	0	0	755.8475	1311.872	1310.486	1184.449	1135.852	0	0	1.522181	76.7206
117.339	0	91.04041	475.9924	0	0	0	0	0	0	0	0	0	0	0	52.73148	0	3.856145	139.7056
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.817073	127.1615
0	0	0	0	0	0	0	5.354907	0	0	0	0	0	0	0	0	0	5.131872	175.3674
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.880756	130.3105
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.290509	86.72443
140.0251	0	0	0	10.48417	363.2589	281.7785	269.9031	278.0206	0	0	0	0	0	129.8784	111.7495	0	5.032357	14.2248
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.724943	40.04111
77.26102	0	0	0	0	0	0	0	0	16.06166	85.53916	102.0549	14.17718	16.43851	0	0	0	3.190537	173.0298
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.880606	48.55453
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.698342	76.28936
0	212.7935	5.966187	0	0	0	0	0	0	0	0	0	0	0	0	0	45.45659	1.302468	109.3324
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.466169	31.33197
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.685217	76.71427
0	0	0	0	0	0	0	0	0	0	0	0	0	393.2935	1.75193	0	0	3.477607	143.4985
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.397279	83.19299
45.88022	0	0	0	0	83.74954	678.7437	728.2662	728.2662	686.0264	53.89104	0	0	67.10348	607.3442	198.2311	0	3.509036	53.97978
128.0195	234.9683	838.5626	851.3323	851.3323	851.3323	853.0483	271.5759	0	187.5083	284.1049	284.1049	135.5174	0	0	0	377.7815	2.126244	26.77389
