1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.982	0	0	0	0	0.018	0	0.924	0.023	0.045	0.006	0	0.002	0	0.988	0.004	0	0.006	0.002	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.992	0	0	0	0	0.008	0	0.962	0.005	0.004	0.008	0.001	0.02	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.931	0	0	0	0	0.069	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.914	0	0	0	0	0.086	0	1	0	0	0	0	0	0	0.935	0.065	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.905	0	0.095	0	0	0	0	0	0.091	0.909	0	0	0	0	0.173	0.306	0.521	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.81	0.155	0.035	0	0	0	0	0.135	0.292	0.572	0	0	0.001	0	0	0	0.942	0.057	0	0.001	0	0.318	0.198	0.484	0	0	0	0	0.618	0.3	0.082	0	0	0	0	0.967	0	0	0	0	0.033	0	0.51	0	0	0	0	0.49	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.985	0.015	0	0	0	0	0	1	0	0	0	0	0	0	0.581	0	0	0	0	0.419	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.92	0	0.08	0	0	0	0	0	0.37	0.63	0	0	0	0	0.508	0.492	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.897	0.057	0.046	0	0	0	0	0.414	0.105	0.481	0	0	0	0	0	0	0.998	0.002	0	0	0	0.351	0.455	0.194	0	0	0	0	0.921	0	0.003	0	0	0.076	0	0.304	0	0	0	0	0.696	0	0.898	0	0	0	0	0.102	0	1	0	0	0	0	0	0	0.853	0	0	0	0	0.147	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.797	0.05	0.153	0	0	0	0	0.765	0.004	0.131	0.1	0	0	0	0.761	0	0.063	0.176	0	0	0	0.988	0.012	0	0	0	0	0	1	0	0	0	0	0	0	0.832	0	0	0	0	0.168	0	0.588	0	0	0	0	0.412	0	0.807	0.006	0.172	0.014	0.001	0	0	0.938	0	0.062	0	0	0	0	0	0.436	0.564	0	0	0	0	0.344	0.475	0	0	0.02	0.161	0	0.907	0.061	0	0	0	0.032	0	0.79	0.155	0.055	0	0	0	0	1	0	0	0	0	0	0	0.978	0.003	0.009	0	0.003	0.007	0	0.99	0	0.007	0	0.001	0.002	0	0.995	0.003	0.002	0	0	0	0	0.668	0	0	0	0	0.332	0	0.952	0	0	0	0	0.048	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.877	0	0	0	0	0.123	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.444	0.057	0.499	0	0	0	0	0.168	0	0.12	0.712	0	0	0	0.184	0	0.044	0.772	0	0	0	0.996	0.004	0	0	0	0	0	0.827	0	0	0	0	0.173	0	1	0	0	0	0	0	0	0.937	0	0.014	0.002	0.004	0.043	0	0.417	0	0.438	0.085	0.031	0.029	0
1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.925	0.028	0.047	0	0	0	0	0.511	0.088	0.401	0	0	0	0	0.787	0.092	0.121	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.699	0	0.301	0	0	0	0	0.446	0	0.248	0	0.306	0	0	0.526	0	0.18	0.291	0.003	0	0	0.676	0.032	0.232	0.06	0	0	0	0.478	0.12	0.402	0	0	0	0	0.002	0.017	0.981	0	0	0	0	0.633	0.108	0.259	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.683	0	0	0.317	0	0	0	0.308	0	0	0.195	0.497	0	0	0.335	0	0	0.523	0.142	0	0	0.596	0	0	0.404	0	0	0	0.986	0.014	0	0	0	0	0	0.996	0.004	0	0	0	0	0	1	0	0	0	0	0	0	0.914	0	0.086	0	0	0	0	0.092	0	0.21	0.021	0.677	0	0	0	0	0	1	0	0	0	0.004	0	0.011	0.985	0	0	0	0.217	0	0.186	0.597	0	0	0	0.949	0.004	0.047	0	0	0	0	0.997	0.001	0.002	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.934	0	0	0.066	0	0	0	0.06	0	0	0.726	0.214	0	0	0.492	0	0	0.459	0.049	0	0	0.776	0	0	0.222	0.002	0	0	0.876	0	0	0.123	0.001	0	0	0.957	0.002	0	0.041	0	0	0
0.448	0	0	0	0	0.552	0	0.874	0	0	0	0	0.126	0	1	0	0	0	0	0	0	0.984	0	0.016	0	0	0	0	0.561	0.008	0.431	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.797	0	0.201	0	0	0.002	0	0.573	0	0.424	0	0	0.003	0	0.985	0	0.015	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.152	0.074	0.774	0	0	0	0	0.458	0	0.233	0.309	0	0	0	0.001	0	0.001	0.998	0	0	0	0.252	0	0.063	0.685	0	0	0	0.993	0.007	0	0	0	0	0	1	0	0	0	0	0	0	0.967	0	0	0	0	0.033	0	1	0	0	0	0	0	0	0.968	0	0	0	0	0.032	0	0.365	0.004	0.407	0.142	0.025	0.057	0	1	0	0	0	0	0	0	0.628	0.008	0.364	0	0	0	0	0	0.35	0.65	0	0	0	0	0.842	0.007	0.151	0	0	0	0	0.969	0.003	0.028	0	0	0	0	0.117	0.487	0.383	0	0	0.013	0	0	0	0.83	0.034	0	0.136	0	0.633	0.173	0.194	0	0	0	0	0.942	0	0	0	0	0.058	0	0.911	0	0	0	0	0.089	0	0.94	0	0	0	0	0.06	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.622	0.041	0.337	0	0	0	0	0.121	0	0.121	0.629	0.129	0	0	0.004	0	0.001	0.994	0.001	0	0	0	0	0	1	0	0	0	0.826	0.007	0	0.167	0	0	0	1	0	0	0	0	0	0	0.545	0	0	0	0	0.455	0	0.982	0	0	0	0	0.018	0	1	0	0	0	0	0	0	0.419	0	0.452	0.041	0.031	0.057	0	0.996	0	0.004	0	0	0	0	0.329	0.055	0.616	0	0	0	0	0.215	0.753	0.032	0	0	0	0	0.996	0.001	0.003	0	0	0	0	0.997	0	0.003	0	0	0	0	0.288	0.315	0.396	0	0	0.001	0	0.016	0.055	0.885	0.04	0	0.004	0	0.683	0.273	0.044	0	0	0	0	0.509	0	0	0	0	0.491	0	0.974	0	0	0	0	0.026	0	0.877	0	0	0	0	0.123	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.999	0.001	0	0	0	0	0	0.447	0	0.314	0.046	0.193	0	0	0.653	0.001	0.166	0.161	0.019	0	0	0.693	0.004	0.117	0.186	0	0	0	0.987	0.005	0.001	0.007	0	0	0	1	0	0	0	0	0	0	0.998	0	0	0	0	0.002	0	0.998	0	0	0	0	0.002	0
1	0	0	0	0	0	0	0.235	0.04	0.725	0	0	0	0	0.224	0.018	0.758	0	0	0	0	0.533	0	0.467	0	0	0	0	0.99	0	0.01	0	0	0	0	1	0	0	0	0	0	0	0.994	0.002	0.004	0	0	0	0	0.325	0	0	0	0	0.675	0	1	0	0	0	0	0	0	0.938	0	0	0	0	0.062	0	0.964	0	0	0	0	0.036	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.841	0	0.086	0.003	0.013	0.057	0	0.82	0	0	0	0.072	0.108	0	0.436	0	0	0	0.024	0.54	0	0.409	0	0	0	0.067	0.524	0	0.967	0.003	0	0	0.03	0	0	0.884	0.013	0	0.103	0	0	0	0.228	0.241	0.531	0	0	0	0	0.002	0.841	0.157	0	0	0	0	0	0.468	0.532	0	0	0	0	0.167	0.083	0.75	0	0	0	0	0.978	0.001	0.021	0	0	0	0	1	0	0	0	0	0	0	0.574	0	0	0	0	0.426	0	1	0	0	0	0	0	0	0.673	0	0	0	0	0.327	0	0.985	0	0	0	0	0.015	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.83	0.029	0.091	0.001	0.008	0.041	0	0.832	0	0	0	0.011	0.157	0	1	0	0	0	0	0	0	0.519	0	0	0	0.057	0.424	0	0.946	0.048	0	0	0.006	0	0	0.513	0.332	0.002	0.027	0.126	0	0	0.927	0.042	0.031	0	0	0	0	0.61	0.248	0	0	0.018	0.124	0	0.384	0.584	0	0	0	0.032	0	0.039	0.306	0.655	0	0	0	0	0.978	0	0.022	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.989	0	0	0	0	0.011	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.863	0.051	0.036	0.001	0.011	0.038	0	0.995	0	0	0	0	0.005	0	1	0	0	0	0	0	0	0.702	0	0	0	0.013	0.285	0	0.993	0.003	0	0	0.004	0	0
1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.523	0	0.477	0	0	0	0	0.494	0	0.499	0	0	0.007	0	0.75	0	0.25	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.998	0	0.002	0	0	0	0	0.964	0.002	0.034	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.443	0.506	0.051	0	0	0	0	0.017	0.254	0.702	0	0	0.027	0	0	0	0.739	0.066	0	0.195	0	0	0.013	0.963	0.004	0	0.02	0	0.773	0.039	0.188	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.993	0.007	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.763	0	0	0	0.237	0	0	0.139	0.591	0.109	0	0.161	0	0	0.999	0.001	0	0	0	0	0	0.67	0.33	0	0	0	0	0	0.587	0.347	0	0	0	0.066	0	0.116	0.883	0.001	0	0	0	0	0.001	0.095	0.904	0	0	0	0	0.898	0	0.102	0	0	0	0	1	0	0	0	0	0	0	0.25	0	0.596	0.136	0.012	0.006	0	0.597	0.005	0.214	0.012	0.05	0.122	0	0.845	0	0	0	0.006	0.149	0	0.941	0	0	0	0.003	0.056	0	0.978	0	0	0	0	0.022	0	0.486	0	0	0	0.026	0.488	0	0.95	0	0	0	0	0.05	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.857	0	0	0	0.143	0	0	0.401	0.3	0.208	0	0.091	0	0	0.985	0.015	0	0	0	0	0	0.056	0.823	0.089	0	0	0.032	0	0.03	0.691	0.003	0	0.026	0.25	0	0.41	0.524	0	0	0	0.066	0	0	0.259	0.741	0	0	0	0	0.929	0	0.071	0	0	0	0	0.71	0	0.223	0.067	0	0	0	0.429	0	0.419	0.014	0.046	0.092	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.987	0	0	0	0	0.013	0	0.869	0	0	0	0.005	0.126	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.894	0	0	0	0.106	0	0	0.786	0.103	0	0.097	0.014	0	0	0.997	0.003	0	0	0	0	0	0.42	0.577	0.003	0	0	0	0	0.366	0.484	0	0	0.015	0.135	0	0.786	0.212	0	0	0	0.002	0	0	0.389	0.611	0	0	0	0	0.931	0	0.069	0	0	0	0	0.709	0.007	0.191	0.031	0.026	0.036	0	0.937	0	0.038	0	0.007	0.018	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.999	0	0	0	0	0.001	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.001	0.081	0.918	0	0	0	0	0.18	0.327	0.493	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.81	0.157	0.033	0	0	0	0	0.119	0.337	0.543	0	0	0.001	0	0	0	0.936	0.052	0	0.012	0	0.302	0.197	0.501	0	0	0	0	0.63	0.281	0.089	0	0	0	0	0.957	0	0	0	0	0.043	0	0.498	0	0	0	0	0.502	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.993	0.007	0	0	0	0	0	1	0	0	0	0	0	0	0.563	0	0	0	0	0.437	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.824	0.024	0.078	0.003	0	0.071	0	0	0.355	0.645	0	0	0	0	0.517	0.483	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.901	0.058	0.041	0	0	0	0	0.427	0.106	0.467	0	0	0	0	0	0	1	0	0	0	0	0.362	0.48	0.158	0	0	0	0	0.917	0	0.007	0	0	0.076	0	0.307	0	0	0	0	0.693	0	0.904	0	0	0	0	0.096	0	1	0	0	0	0	0	0	0.866	0	0	0	0	0.134	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.787	0.039	0.174	0	0	0	0	0.748	0.002	0.141	0.109	0	0	0	0.747	0	0.085	0.168	0	0	0	0.992	0.008	0	0	0	0	0	1	0	0	0	0	0	0	0.789	0	0	0	0	0.211	0	0.587	0	0.001	0.005	0.002	0.405	0	0.805	0.01	0.169	0.016	0	0	0	0.796	0.049	0.109	0.005	0.001	0.04	0	0	0.403	0.597	0	0	0	0	0.351	0.496	0	0	0.013	0.14	0	0.919	0.057	0	0	0	0.024	0	0.787	0.174	0.039	0	0	0	0	1	0	0	0	0	0	0	0.97	0.005	0.012	0.003	0.004	0.006	0	0.989	0	0.009	0	0.001	0.001	0	0.996	0.003	0.001	0	0	0	0	0.685	0	0	0	0	0.315	0	0.945	0	0	0	0	0.055	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.877	0	0	0	0	0.123	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.466	0.06	0.474	0	0	0	0	0.146	0	0.116	0.738	0	0	0	0.193	0	0.045	0.762	0	0	0	0.995	0.005	0	0	0	0	0	0.82	0	0	0	0	0.18	0	1	0	0	0	0	0	0	0.925	0.001	0.015	0	0.004	0.055	0	0.418	0	0.43	0.091	0.027	0.034	0	0.772	0.063	0.099	0.037	0	0.029	0
1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.492	0	0.508	0	0	0	0	0.528	0	0.469	0	0	0.003	0	0.775	0	0.225	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.998	0	0.002	0	0	0	0	0.939	0.007	0.054	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.448	0.486	0.066	0	0	0	0	0.026	0.261	0.681	0	0	0.032	0	0	0	0.731	0.07	0	0.199	0	0	0.016	0.945	0.006	0	0.033	0	0.787	0.035	0.178	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.999	0.001	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.911	0	0	0	0	0.089	0	0.95	0	0	0	0	0.05	0	0.966	0	0	0	0	0.034	0	0.965	0	0	0	0	0.035	0	0.973	0	0	0	0	0.027	0	0.948	0	0	0	0	0.052	0	0.954	0	0	0	0	0.046	0	0.901	0	0	0	0	0.099	0	0.764	0	0	0	0	0.236	0	0.129	0	0	0	0	0.871	0	0	0	0	0	0	1	0	0.015	0	0	0	0	0.985	0	0.423	0	0	0	0	0.577	0	0.679	0	0	0	0	0.321	0	0.764	0	0	0	0	0.236	0	0.778	0	0	0	0	0.222	0	0.769	0	0	0	0	0.231	0	0.748	0	0	0	0	0.252	0	0.693	0	0	0	0	0.307	0	0.381	0	0	0	0.044	0.575	0	0.021	0	0	0	0.479	0.5	0	0.127	0	0	0	0.509	0.364	0	0.199	0	0	0	0.41	0.391	0	0.767	0	0	0	0.011	0.222	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.973	0	0	0	0	0.027	0	0.47	0	0	0	0.026	0.504	0	0.445	0	0	0	0.028	0.527	0	0.766	0	0	0	0.068	0.166	0	0.858	0	0	0	0.134	0.008	0	0.829	0	0	0	0.068	0.103	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.941	0	0	0	0	0.059	0	0.335	0	0	0	0.025	0.64	0	0.601	0	0	0	0.019	0.38	0	0.876	0	0	0	0.005	0.119	0	0.991	0	0	0	0	0.009	0	0.904	0.096	0	0	0	0	0	0.968	0	0	0	0.032	0	0	0.989	0	0.011	0	0	0	0	0.402	0.013	0.585	0	0	0	0	0.982	0	0.018	0	0	0	0	1	0	0	0	0	0	0	0.79	0.013	0.197	0	0	0	0	0.495	0.012	0.342	0.014	0.076	0.061	0	0.86	0	0	0	0.005	0.135	0	0.943	0	0	0	0.001	0.056	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.997	0	0	0	0	0.003	0	0.835	0	0	0	0.006	0.159	0	0.465	0	0	0	0.02	0.515	0	0.94	0	0	0	0.003	0.057	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.994	0	0	0	0	0.006	0	0.947	0	0	0	0	0.053	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.763	0.002	0	0.02	0.215	0	0	0.711	0.027	0	0.262	0	0	0
