195.2507	191.0256	163.7437	112.3964	140.1042	84.16877	86.29855	87.58301	94.70791	68.38041	121.9023	90.90286	63.10874	62.13104	68.69753	138.1432	475.1449	568.4214	599.8442	591.1664	585.8071	584.7	559.1266	375.7311
0	114.1408	363.4916	449.1483	463.656	184.8824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	108.4229	0	0	0	0	0	0	0	0	16.84152	0	0	0
632.234	661.8804	639.8715	616.5046	591.0135	206.17	128.8197	140.3024	162.4871	267.4904	236.0135	238.6229	183.2608	203.4347	80.34278	111.2418	209.6888	250.3246	385.5582	600.4821	654.5909	710.963	656.9306	378.169
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.490226	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	47.07257	394.7321	518.3761	589.0161	616.6034	610.3849	548.0986	526.6409	396.8188	57.5582	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
663.119	668.1791	632.1531	652.2336	646.8243	629.1303	598.6389	20.68451	1.882953	0	0.6246341	9.979932	0	0	0	1.874874	1.24828	1.25648	156.3251	443.7475	523.3505	628.3382	647.3773	651.7011
853.1767	856.4285	792.1813	600.9775	504.8067	451.9958	260.01	252.2083	324.2659	400.5596	294.1957	223.165	188.9081	100.5147	103.4238	429.5993	1112.575	333.4487	465.5977	807.1619	823.2273	815.4989	807.9656	814.3112
452.0128	324.0075	273.139	277.4997	242.9061	135.5056	31.17269	0	0	0	0	0	0	0	0	0	0.3687602	17.57064	0	0	0	0	481.7885	501.4698
0	0	0	0	0	0	0	0	0	0	0	15.35198	428.1778	556.1383	546.1102	547.9729	552.5223	484.3292	329.6628	19.78731	0	0	0	0
0	0	0	0	0	0	0	0	0	39.2128	400.4916	666.8855	683.3898	439.714	53.64864	0	0	82.58572	0	0	0	0	0	0
638.8162	631.8804	636.4882	627.3331	455.4993	412.3338	433.8924	394.0363	330.4801	129.5144	6.842869	6.220105	9.358891	14.97245	38.60095	141.4572	157.193	170.9683	243.879	456.2513	631.4431	638.0839	646.8782	666.2854
562.857	504.0114	417.5738	166.6527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.03799	380.6774	534.2314	676.174
0	0	0	0	100.6908	194.2531	208.0537	175.961	0	71.08579	94.91683	60.03532	0	0	0	0	0	0	0	56.15522	0	0	0	0
188.8733	370.0701	360.8311	316.4301	203.1229	13.89913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
453.5878	340.9287	611.0014	547.3719	261.4579	372.7348	413.3435	35.12246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420.1801
1738.556	1501.088	549.1692	0	0	0	0	27.75229	130.0835	115.9724	26.56338	0	0	0	0	0	0	0	0	0	8.259245	991.1019	1705.523	1771.578
